,#Predicted Rank,#Simplicity,#Uniqueness,(1 ounce) squares German sweet chocolate - chopped,(18.25 ounce) package chocolate chip cake mix with pudding,(3.5 oz)vanilla pudding mix,(6 ounce) package almond brickle chips,3 ounce package instant pistachio pudding mix,BakingSoda(tsp),Brown Sugar (c),Butter (c),Chocolate Chip Muffin Mix (pkg),Egg,Egg White,European cookie spread (c),Flour (c),Kentucky Bourbon (tbsp),NESTLE TOLL HOUSE Delightfulls Mint Filled Morsels (c),PB chips (c),Stevia Extract In The Raw (c),Sugar (c),Sweetened Condensed Milk (oz),Tennessee whiskey (tbsp),Vanilla (tsp),almond butter (c),almond extract (tsp),almond flour (c),almond milk (tbsp),applesauce (c),baking powder (tsp),basic cookie mix,bitter sweet chocolate (c),blueberries (c),bread flour (c),buttermilk (c),buttermilk baking mix (c),butterscotch-flavored chips (c),cake flour (c),candy-coated chocolate pieces (c),canola oil (tbsp),caramel morsels (pieces),carrots shredded (c),chia seeds (c),chickpea flour (c),chocolate chunks (oz),chocolate covered caramel candy (pieces),chocolate covered toffee (oz),chocolate fudge cake mix (pkg),chocolate syrup (c),chopped almonds (c),chopped dried apricot (c),chopped maraschino cherries (c),chopped pecans (c),chopped peppermint candy (c),coarse salt (tsp),cocoa nibs (c),cocoa powder (c),coconut extract (tsp),coconut flour (c),coconut oil (tbsp),coconut sugar (c),coffee flavored liqueur (tbsp),confectioners sugar (c),corn flakes (c),corn syrup (tbsp),cornflakes cereal - curmbled (c),cornstarch (tbsp),cream (tbsp),cream cheese (oz),cream of tartar (tsp),creamy PB (oz),crips rice cereal (c),crunchy peanut butter (c),crushed pistachios (c),dairy-free and gluten-free chocolate chips,dark chocolate chips (oz),dried cranberries (c),dried tart cranberries (c),egg substitute (c),egg yolk,finely chopped chipotle peppers in adobo sauce (tsp),finely chopped crystallized ginger (c),finely chopped zucchini (c),firmly packed potato starch (c),flaked coconut (c),gluten free flour (c),gluten-free baking mix (c),golden raisins (c),green tea powder [matcha] (tbsp),ground allspice (tsp),ground cardamom (tsp),ground cinnamon (tsp),ground cloves (tsp),ground flax seeds (c),ground ginger (tsp),ground graham cracker crumbs (c),ground mace (tsp),ground nutmeg (tsp),ground white pepper (tsp),half and half (tbsp),hemp seed hearts (c),honey (tbsp),hot water (tsp),instant butterscotch pudding mix,instant espresso coffee powder (tbsp),kiwi pureed,macadamia nuts chopped (c),maple extract (tsp),maple syrup (c),maple-cured bacon chopped (piece),mashed avocado (c),mashed bananas (c),matzo cake meal (c),melted butter (c),melted dark chocolate (oz),melted semisweet chocolate chips (oz),milk (tbsp),milk chocolate candy kisses - unwrapped - softened,milk chocolate chips (c),mini marshmallows (c),mint chocolate chips (c),molasses (c),nut and seed trail mix (c),oats (c),orange extract (tsp),orange juice (tbsp),orange zest (tbsp),peppermint extract (tsp),plain yogurt,port wine (c),powdered milk (c),powdered protein supplement (scoop),prepared granola (c),pumpkin pie spice (tsp),pumpkin puree (oz),pureed prunes (tbsp),raisins (c),red food coloring (tbsp),salt (tsp),semisweet chocolate chips (oz),shortening (c),sifted whole wheat pastry flour (c),sorghum flour (c),sour cream (c),soy milk (c),soybean oil (tbsp),spice cake mix (oz),sweet potato puree (c),tapioca flour (c),toasted oat cereal smashed (c),toffee baking bits (c),turbinado sugar (c),unsweetened baking chocolate (oz),vanilla chips (oz),vegan choc. Chips (tbsp),vegetable oil (tbsp),walnuts (c),water (tsp),white cake mix (pkg),white chocolate chips (oz),white chocolate pudding mix (3.3 oz pkg),white rice flour (c),white vinegar (tsp),xanthan gum (tsp),yellow cake mix (pkg)
0,1.9887555837631226,12.784878763601945,8.50726013473198,1.125,0.0625,0.25,0.0625,0.125,1.1875,0.8125,0.875,0.0,2.375,0.1875,0.0625,3.375,0.25,0.125,0.125,0.0,0.25,0.5,0.0,1.875,0.0625,0.0625,0.3125,0.0625,0.125,0.4375,0.125,0.0625,0.0,0.25,0.0625,0.125,0.0,0.0,0.0625,0.0625,3.125,0.0,0.0,0.3125,0.375,0.9375,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0,0.0,0.1875,0.0,0.125,0.25,0.0,0.3125,0.0,0.0625,0.3125,0.125,0.625,0.0,0.8125,0.3125,0.125,0.3125,1.5625,0.3125,0.0625,0.125,0.0625,3.75,0.0,0.0,0.0625,0.125,0.0625,0.0,0.25,0.0,0.0625,0.1875,0.0,0.0,0.0625,0.0,0.0,0.3125,0.0625,0.0625,0.3125,0.0625,0.0,0.4375,0.0,0.1875,0.0625,1.6875,0.375,0.125,0.5,0.0,0.125,0.0,0.0625,0.875,0.0,0.0625,0.0625,0.0,0.375,0.0,0.5,2.0625,0.625,0.0,0.0625,0.125,0.0,1.3125,0.125,0.5625,0.0625,0.5,0.0,0.0,0.0625,0.0625,0.0625,0.125,2.125,0.0625,0.0625,0.1875,0.5,4.125,0.5,0.125,0.125,0.0625,0.0625,0.0625,3.1875,0.0625,0.0625,0.0,0.125,0.0625,0.0,0.5,0.5,1.625,0.125,1.0625,0.0625,7.75,0.0625,0.125,0.0625,0.1875,0.0625
1,2.3771932125091553,16.865738199082777,10.657076287612846,0.4375,0.0,0.1875,0.0,0.0625,0.3125,0.1875,1.125,0.0625,1.5,0.8125,0.0,1.125,0.25,0.0625,0.625,0.0625,1.6875,0.3125,0.0625,3.625,0.125,0.0625,0.0625,0.0625,0.125,0.0,0.0625,0.0,0.0,0.0,0.0625,0.1875,0.0,0.0,0.0,0.25,3.9375,0.0625,0.0,0.0625,0.0625,4.5625,0.375,0.0,0.0,0.0625,0.125,0.0,0.1875,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,1.875,0.0625,0.125,0.25,0.1875,0.1875,0.0,0.3125,0.375,0.0,0.25,1.9375,0.375,0.0625,0.1875,0.0625,1.0,0.0625,0.0625,0.0,0.0625,0.125,0.0,0.125,0.0,0.0625,0.0,0.1875,0.0625,0.0625,0.125,0.0625,0.75,0.0,0.0625,0.125,0.1875,0.0,0.0625,0.0,0.25,0.0,0.3125,0.4375,0.0,0.3125,0.0625,0.125,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.1875,0.3125,0.125,4.1875,0.3125,0.5625,0.25,0.125,0.0625,0.125,0.625,0.125,0.3125,0.125,0.125,0.0625,0.0,0.0625,0.625,0.1875,0.0625,1.75,0.0625,0.0625,0.125,0.375,12.5,0.3125,0.0,0.0,0.0,0.0625,0.0625,0.5625,0.0625,0.0,0.1875,0.0625,0.0,0.1875,0.6875,0.8125,2.1875,0.625,4.875,0.0625,2.4375,0.0,0.125,0.0625,0.3125,0.0
2,2.4082956314086914,11.200237162667584,8.454381260624576,0.0,0.0625,0.125,0.125,0.125,0.0625,0.25,0.1875,0.0625,2.75,0.25,0.125,0.8125,0.5,0.0625,0.4375,0.125,0.6875,0.25,0.0625,0.75,0.125,0.125,0.125,0.0625,0.125,1.1875,0.125,0.0625,0.0,0.0,0.0625,0.375,0.0,0.0625,0.0,0.0625,1.125,0.0625,0.0625,0.0625,1.875,2.4375,1.0,0.125,0.0,0.0625,0.125,0.0,0.375,0.0625,0.0,0.0,0.4375,0.0625,0.0,1.625,0.0625,0.3125,0.125,0.0625,0.375,0.0,0.0625,0.5625,0.875,0.25,1.625,0.125,0.0625,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.375,0.0625,0.0625,0.125,0.0625,0.1875,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0625,0.1875,0.0,0.0,0.0625,1.25,0.0625,0.3125,0.125,0.0625,0.0625,0.0,0.1875,0.0625,0.125,0.1875,0.0625,0.625,0.0625,4.375,1.9375,0.25,0.125,0.0625,0.0625,0.0625,0.625,0.0,0.5625,0.0,0.4375,0.0625,0.0,0.0625,0.0,0.3125,0.0,2.0,0.125,0.0,0.125,1.125,6.375,0.0,0.3125,0.125,0.0,0.0625,0.0625,1.3125,0.0625,0.0625,0.0,0.0625,0.0625,0.125,0.125,0.5,4.375,0.1875,0.3125,0.0625,1.0625,0.0,0.0,0.0,0.0,0.0625
3,2.487697124481201,14.21555595993347,9.340858164537131,0.0625,0.0,0.125,0.125,0.0,0.25,1.25,0.4375,0.1875,0.25,0.5,0.0,0.875,0.4375,0.0,0.25,0.0,1.0,1.5625,0.0625,3.4375,0.125,0.0,0.125,0.0625,0.0,0.0,0.1875,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,3.3125,0.0,0.0625,0.125,0.4375,1.1875,0.4375,0.0625,0.0625,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.375,0.125,0.0625,1.9375,0.125,0.4375,0.125,0.0,0.0625,0.0625,0.0625,0.3125,0.375,0.0625,0.3125,0.3125,0.1875,0.0625,0.0,3.5625,0.0625,0.0,0.0,0.25,0.125,0.0,0.0625,0.0625,0.3125,0.1875,0.0625,0.0625,0.0625,0.0625,0.0625,0.8125,0.0625,0.0625,0.0,0.0,0.0625,0.125,0.0,0.1875,0.0,1.5625,0.8125,0.0,0.25,0.125,0.1875,0.0625,0.0625,0.125,0.0625,0.0625,0.1875,0.0625,0.0625,0.0625,0.4375,3.8125,0.0625,0.1875,0.25,0.0,0.0625,0.5625,0.125,0.25,0.0,0.3125,0.0,0.0625,0.0625,0.5,0.125,0.0625,2.75,0.0,0.125,0.1875,1.0,10.1875,0.375,0.3125,0.0,0.0,0.0,0.0,0.25,0.0625,0.0,0.0,0.0,0.0625,0.1875,0.0625,0.75,4.4375,0.0,0.4375,0.0,0.3125,0.0,0.0625,0.0625,0.4375,0.0625
4,2.765345335006714,24.467692346234863,9.07499139118049,0.3125,0.0625,0.0625,0.0625,0.0,1.0625,0.3125,0.3125,0.0,1.0625,0.25,0.0,1.5,0.0625,0.0,0.125,0.0,0.375,0.6875,0.0625,4.0625,0.0,0.0,0.3125,0.0625,0.0625,0.125,0.0,0.0,0.0,0.1875,0.0625,0.125,0.0,0.0625,0.0,0.1875,2.5625,0.0625,0.0625,0.125,0.375,4.0,1.125,0.0625,0.0,0.125,0.0625,0.0,0.125,0.0625,0.1875,0.0625,0.125,0.0625,0.0625,0.9375,0.0,0.4375,0.1875,0.0,0.1875,0.0,0.125,0.125,0.3125,0.3125,1.375,0.375,0.125,0.0625,0.0625,1.8125,0.0625,0.0,0.0,0.0625,0.25,0.125,0.125,0.0,0.25,0.375,0.125,0.0,0.0625,0.0625,0.1875,0.3125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.0625,1.3125,0.4375,0.0625,0.25,0.0625,0.125,0.0625,0.0625,0.1875,0.0,0.25,0.0625,0.125,0.5625,0.0625,1.5,5.125,0.8125,0.0625,0.0625,0.0,0.125,0.3125,0.0,0.1875,0.0,0.375,0.0625,0.0625,0.0625,0.125,0.0,0.0625,1.5625,0.1875,0.0625,0.125,0.25,22.4375,0.0625,0.25,0.125,0.0,0.0625,0.0,0.75,0.0,0.0,0.0625,0.0,0.0625,0.25,0.4375,1.0625,0.3125,0.125,2.1875,0.0,0.3125,0.0625,0.125,0.0625,0.3125,0.125
5,2.834874391555786,16.15295541843659,13.05508784918738,0.625,0.0625,0.25,0.0625,0.0,0.25,0.375,1.0,0.0625,1.6875,0.125,0.0,1.5625,0.125,0.0625,0.375,0.25,2.5625,0.375,0.0,2.9375,0.125,0.0,0.0625,0.0,0.1875,0.0625,0.25,0.125,0.0,0.125,0.0625,0.0625,0.0,0.0625,0.0,0.125,3.25,0.0,0.0,0.0625,1.5,6.8125,1.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0,1.8125,0.125,0.0625,0.125,0.0625,0.9375,0.0,0.5625,0.4375,0.1875,0.1875,0.375,0.1875,0.125,0.0,0.0625,1.8125,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.25,0.0,0.375,0.125,0.25,0.0625,0.0625,0.0,0.0,0.5625,0.0,0.0,0.1875,0.0625,0.0625,0.1875,0.0,0.0625,0.0625,0.75,0.1875,0.0625,0.125,0.0625,0.0,0.0625,0.0,0.375,0.0625,0.0625,0.1875,0.0625,0.375,0.0,0.1875,5.6875,0.5,0.25,0.1875,0.0625,0.0625,1.375,0.125,0.25,0.0,0.1875,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,3.8125,0.125,0.0625,0.125,0.375,5.6875,0.125,0.5,0.0,0.0625,0.0625,0.125,0.5,0.0,0.0625,0.0625,0.0625,0.0,0.5,0.0,0.0625,1.5,0.0,8.9375,0.0,1.75,0.0625,0.1875,0.0625,0.0625,0.0625
6,3.1199989318847656,20.723156582673404,8.088137532831647,0.125,0.0,0.0625,0.0,0.0,0.375,1.0625,0.8125,0.0625,1.4375,0.8125,0.0,0.75,0.3125,0.125,0.25,0.0,0.6875,0.5,0.0625,1.9375,0.125,0.0625,0.5625,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.1875,0.0,0.0,0.0,0.0625,0.5625,0.0,0.0,0.1875,2.0625,3.5,0.25,0.0625,0.0625,0.25,0.0,0.0625,0.125,0.0,0.0,0.125,0.0625,0.0625,0.0,1.375,0.0625,0.125,0.0,0.125,0.5625,0.0625,0.3125,0.5,0.5625,0.0625,0.3125,0.1875,0.0625,0.125,0.0,3.25,0.125,0.0,0.0625,0.125,0.25,0.0,0.1875,0.0625,0.25,0.0625,0.0625,0.0625,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.3125,0.0625,0.0625,0.125,0.0625,0.1875,0.0625,0.0625,0.875,0.1875,0.0625,0.0,0.125,0.0,0.0,0.125,0.0,0.1875,0.125,0.125,0.5625,0.125,3.8125,1.9375,0.0,0.125,0.1875,0.0,0.0,1.5,0.0,0.4375,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.3125,0.0625,0.9375,0.0,0.125,0.125,0.1875,18.8125,0.5,0.125,0.0625,0.0,0.0,0.0,0.8125,0.0625,0.0,0.0,0.0625,0.0,0.8125,0.125,0.1875,2.75,0.25,0.5625,0.0625,1.1875,0.0,0.0,0.0,0.25,0.0625
7,3.1986734867095947,19.614746525254922,10.402147915214433,0.5,0.125,0.1875,0.0,0.0625,0.0,0.4375,0.625,0.125,1.8125,0.0625,0.0,1.9375,0.1875,0.1875,0.0,0.0,0.625,0.375,0.0,4.25,0.0,0.0,0.375,0.0625,0.0625,0.4375,0.125,0.25,0.0,0.125,0.0,0.1875,0.0,0.0625,0.0625,0.125,2.9375,0.0625,0.0,0.0,4.5,2.1875,0.0625,0.0625,0.0625,0.0,0.0625,0.0,0.1875,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.4375,0.125,0.25,0.4375,0.0625,0.375,0.125,1.3125,0.3125,1.125,0.0,2.0625,0.1875,0.0625,0.0,0.0625,1.75,0.25,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0625,0.0,0.0625,0.0625,0.0625,0.0,0.125,0.125,0.0625,0.1875,0.0625,0.0,0.0625,0.0625,0.125,0.125,0.1875,0.25,0.125,0.375,0.0,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.25,0.0625,0.25,0.0625,3.625,3.125,0.3125,0.125,0.0625,0.0625,0.0,0.1875,0.0625,0.3125,0.0625,0.1875,0.0,0.0625,0.0625,0.1875,0.0625,0.125,5.5,0.125,0.125,0.0,0.25,15.375,0.0625,0.375,0.0625,0.0625,0.0,0.0,0.5625,0.0,0.0625,0.0,0.0625,0.0625,0.3125,0.5,0.5,3.875,0.125,0.1875,0.0625,2.4375,0.125,0.0625,0.0625,0.25,0.0625
8,3.3688628673553467,15.235520790245406,9.756207959550677,0.5625,0.0,0.125,0.125,0.125,2.0,0.75,0.375,0.125,2.75,0.0625,0.0625,0.3125,0.625,0.0,0.125,0.0625,0.3125,1.25,0.0625,1.5,0.125,0.0625,0.0625,0.0625,0.25,0.1875,0.0625,0.25,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,4.6875,0.0,0.0625,0.125,0.3125,3.1875,0.1875,0.125,0.0,0.1875,0.0,0.0625,0.0,0.0625,0.125,0.0625,0.125,0.0625,0.0625,0.5,0.0625,0.0625,0.125,0.0625,1.375,0.0625,0.4375,0.0625,0.375,0.625,1.5625,0.3125,0.0,0.125,0.0,1.3125,0.125,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0,0.4375,0.0,0.25,0.0625,0.0625,0.0,0.0,0.3125,0.125,0.0625,0.1875,0.125,0.0,0.0625,0.0625,0.125,0.0625,0.3125,0.375,0.125,0.375,0.0625,0.0625,0.1875,0.0625,0.375,0.0625,0.1875,0.125,0.0625,0.625,0.0,6.0625,1.875,0.5,0.0625,0.0625,0.0625,0.0,1.3125,0.0,0.8125,0.0625,0.0,0.0,0.0,0.0,0.0625,0.1875,0.0,0.75,0.125,0.125,0.125,0.0625,11.0625,0.4375,0.1875,0.0,0.0,0.0,0.125,0.9375,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.5625,0.9375,0.875,0.25,1.4375,0.0,1.5625,0.0625,0.1875,0.0,0.0,0.125
9,3.482556104660034,15.84778671455418,10.809248065892465,0.125,0.0625,0.125,0.0625,0.0625,1.4375,1.9375,1.875,0.125,2.5625,0.375,0.0,0.125,0.4375,0.0,0.0625,0.0625,0.9375,0.875,0.0625,1.6875,0.1875,0.0,0.5,0.0,0.0,0.3125,0.1875,0.125,0.0625,0.125,0.0,0.0,0.0,0.0625,0.0625,0.125,2.875,0.0,0.0625,0.0625,0.75,5.9375,0.25,0.0,0.0,0.0,0.0625,0.0,0.25,0.0,0.375,0.0,0.125,0.125,0.125,1.125,0.0,0.25,0.125,0.125,0.3125,0.0625,0.5,0.375,0.125,0.0625,0.375,0.3125,0.0625,0.125,0.125,5.375,0.0,0.0,0.0625,0.1875,0.0,0.0625,0.0625,0.0625,0.375,0.1875,0.1875,0.1875,0.0625,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.0,0.5,1.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.1875,0.125,0.0625,0.125,0.125,0.4375,0.0625,2.25,0.1875,0.375,0.0625,0.0,0.0,0.0,1.3125,0.0625,0.125,0.125,0.125,0.125,0.0,0.0,0.375,0.25,0.1875,4.6875,0.0625,0.125,0.0,0.6875,11.0,0.125,0.0,0.125,0.0625,0.0625,0.0,0.375,0.0,0.0625,0.125,0.125,0.0625,0.25,0.1875,0.0625,1.125,0.25,0.125,0.0,0.25,0.0,0.0,0.0,0.25,0.0
10,3.605530261993408,21.982059446284826,9.661052608282391,0.5625,0.0625,0.1875,0.1875,0.25,0.5,0.8125,0.875,0.0,0.1875,0.6875,0.0,0.1875,0.125,0.1875,0.25,0.0625,0.125,0.4375,0.0,2.6875,0.0,0.0625,0.1875,0.0,0.1875,0.875,0.0625,0.125,0.0,0.0625,0.0625,0.0,0.0,0.0625,0.0625,0.0625,1.375,0.0,0.0625,0.0625,0.75,1.0,0.75,0.0625,0.0,0.0625,0.0625,0.0625,0.25,0.0,0.0625,0.0,0.125,0.0,0.0,2.4375,0.0625,0.25,0.25,0.0625,0.1875,0.0,0.0625,0.1875,0.4375,0.375,3.0625,0.25,0.0,0.0625,0.0625,1.3125,0.125,0.0,0.0625,0.125,0.125,0.0,0.0,0.0,0.375,0.0625,0.0625,0.0,0.0,0.0,0.0625,0.875,0.1875,0.0,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.6875,0.1875,0.0625,0.5625,0.0,0.0625,0.0625,0.0,0.0,0.0,0.1875,0.0625,0.0625,0.75,0.0625,0.875,3.4375,0.3125,0.0625,0.125,0.0625,0.0,0.375,0.0,0.4375,0.125,0.375,0.0625,0.0,0.0625,0.125,0.0625,0.0625,2.4375,0.0625,0.125,0.1875,0.125,19.9375,0.1875,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0625,0.0,0.1875,0.0625,0.0,0.125,0.3125,0.125,2.9375,0.375,3.125,0.0,3.5,0.0625,0.0,0.0,0.1875,0.1875
11,3.7479541301727295,27.55697223480838,8.599672595511993,1.125,0.0625,0.1875,0.0,0.125,1.125,0.375,0.0625,0.0625,2.3125,0.125,0.0,1.0,0.25,0.1875,0.4375,0.0625,0.75,0.25,0.125,2.375,0.0,0.0,0.3125,0.0625,0.125,0.4375,0.0625,0.0,0.0625,0.0625,0.0625,0.25,0.0,0.0,0.0,0.125,3.5625,0.0625,0.0625,0.25,1.0,0.0625,0.3125,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.1875,0.0625,0.0625,0.1875,0.0625,3.125,0.0625,0.0,0.1875,0.125,0.5,0.0625,0.125,0.1875,0.1875,0.125,0.25,0.1875,0.125,0.125,0.0625,1.625,0.0,0.0625,0.0,0.25,0.0625,0.0625,0.0625,0.0,0.0,0.0625,0.3125,0.0625,0.0,0.0625,0.0625,1.1875,0.0625,0.0625,0.125,0.0,0.0,0.0625,0.0,0.1875,0.0,0.5625,0.0625,0.0625,0.125,0.0625,0.0,0.0,0.0,0.1875,0.125,0.0625,0.125,0.0625,0.4375,0.0625,0.75,5.1875,0.1875,0.0,0.0625,0.0625,0.0,0.1875,0.0625,0.125,0.25,0.0625,0.0,0.0,0.0625,0.3125,0.0625,0.1875,1.5,0.125,0.1875,0.0,0.6875,26.0625,0.3125,0.25,0.0625,0.125,0.0625,0.125,0.625,0.0,0.0,0.0625,0.0625,0.0625,0.375,0.25,0.1875,0.5,0.375,0.5625,0.0625,1.625,0.125,0.1875,0.0,0.125,0.25
12,3.816041946411133,17.27489146130881,10.518473035569373,0.625,0.0625,0.1875,0.0625,0.1875,1.0625,0.375,0.375,0.0,3.1875,0.375,0.0,0.8125,0.4375,0.0625,0.3125,0.0,1.125,0.25,0.0625,3.375,0.0625,0.125,0.25,0.0625,0.125,0.9375,0.0,0.125,0.0625,0.0,0.0625,0.25,0.0,0.0,0.0,0.0625,2.9375,0.0625,0.0625,0.125,2.1875,0.4375,0.3125,0.0,0.0625,0.0625,0.125,0.0625,0.1875,0.0625,0.25,0.0,0.1875,0.1875,0.0,3.625,0.1875,0.375,0.5,0.0,0.25,0.1875,0.5,0.375,0.375,0.1875,2.4375,0.125,0.0625,0.25,0.0,2.5625,0.0,0.125,0.0625,0.125,0.0625,0.125,0.0625,0.0625,0.1875,0.0625,0.1875,0.0625,0.0625,0.0625,0.1875,0.1875,0.0,0.0,0.0625,0.0625,0.0,0.25,0.0625,0.125,0.125,0.625,0.25,0.0,0.3125,0.0625,0.125,0.125,0.0625,0.3125,0.0625,0.0625,0.1875,0.0,0.0,0.0625,4.8125,1.6875,0.25,0.0625,0.125,0.0625,0.0625,0.375,0.125,0.3125,0.0625,0.1875,0.0625,0.0,0.0625,0.3125,0.0625,0.0,1.0625,0.125,0.0,0.1875,0.25,12.6875,0.8125,0.3125,0.0625,0.0625,0.0625,0.0625,0.375,0.0,0.0,0.0,0.0625,0.0625,0.6875,0.125,0.3125,3.5,0.0625,1.25,0.0,5.0625,0.0625,0.125,0.0,0.0625,0.0
13,4.02144193649292,8.780527105476072,7.802733895885467,0.6875,0.0625,0.0625,0.0625,0.125,1.125,0.625,1.4375,0.1875,3.0,0.125,0.0625,0.0,1.0625,0.0,0.125,0.0625,0.5625,0.0625,0.0,3.1875,0.0625,0.125,0.25,0.0625,0.125,0.25,0.125,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0625,0.0,0.375,0.125,0.0625,0.0625,0.125,0.375,0.1875,0.4375,0.0625,0.0,0.125,0.0625,0.0,0.125,0.0625,0.0,0.0625,0.25,0.25,0.0,0.9375,0.0625,0.3125,0.25,0.0625,0.1875,0.0,0.125,0.25,0.625,0.0625,0.375,0.0625,0.0625,0.125,0.0625,3.0625,0.3125,0.125,0.0625,0.125,0.0625,0.0,0.0625,0.125,0.3125,0.0,0.5,0.0,0.0625,0.0,0.0625,0.0625,0.1875,0.0625,0.125,0.125,0.0,0.0625,0.0625,0.0625,0.0625,0.25,0.4375,0.0625,0.5625,0.0625,0.1875,0.0625,0.0,0.5,0.0625,0.0625,0.0,0.25,0.6875,0.0625,2.5625,2.625,0.0,0.125,0.125,0.0,0.0,0.3125,0.0,1.0625,0.0,0.1875,0.0,0.0,0.0625,0.5,0.0625,0.125,2.25,0.0625,0.0625,0.0625,0.375,0.625,0.8125,0.0625,0.0625,0.0,0.0,0.0625,0.6875,0.0625,0.0,0.0625,0.0,0.0,0.3125,0.6875,0.25,2.75,0.125,1.8125,0.1875,2.1875,0.0,0.0625,0.0625,0.0625,0.1875
